,Linear_Regression,Lasso_Regression,Ridge_Regression,Random_Forest,Gradient_Boosting,Bagging,Decision_Tree
basementsqft,27,27,25,27,13,27,27
bedroomcnt,9,9,9,11,13,11,11
buildingqualitytypeid,14,14,14,9,6,9,9
calculatedbathnbr,8,8,8,17,13,17,18
finishedfloor1squarefeet,19,18,17,23,13,23,19
calculatedfinishedsquarefeet,4,4,4,5,5,6,4
finishedsquarefeet50,15,15,15,20,13,20,21
fips,7,6,6,25,13,26,26
fireplacecnt,16,16,16,24,13,24,24
fullbathcnt,10,10,10,19,13,19,17
garagecarcnt,22,22,22,18,8,18,20
garagetotalsqft,12,12,12,12,13,12,12
heatingorsystemtypeid,26,25,26,16,13,16,15
latitude,1,1,1,1,1,1,1
longitude,3,3,3,3,7,3,2
lotsizesquarefeet,20,20,20,8,12,8,7
propertycountylandusecode,5,5,5,13,10,13,13
propertylandusetypeid,18,17,18,14,13,14,14
regionidcity,21,21,21,10,9,10,10
regionidcounty,17,19,19,26,13,25,25
roomcnt,6,7,7,15,11,15,16
unitcnt,24,24,24,22,13,21,23
yardbuildingsqft17,25,26,27,21,13,22,22
yearbuilt,11,11,11,4,4,4,5
sqft_x_bath,13,13,13,2,3,2,3
log_calculatedfinishedsquarefeet,2,2,2,6,2,5,8
land_development_efficiency,23,23,23,7,13,7,6
